Document Type,Document No.,Order Type,Channel Code,Channel Name,Sub Channel Code,Sub Channel Name,Region Code,Region Name,Area Code,Area Name,Township Code,Township Name,SE Code,SFA User Id.,SE Name,Customer No.,Customer Name,Brand,Brand Name,Pack Type,Pack Type Name,Item No.,Description,Base Unit of Measure,Beer Type Code,Beer Type Description,Year,Month,Day,Invoiced Quantity,Invoiced Qty. In HL,Sales Amount (Actual),Sales Tax Amount (Actual),Total Amount (Actual),Discount Amount (Sales),Discount Amount (Tax),Discount Amount,Gross Sale,Gross Tax Amount,Total Sales Incl.Tax,Invoice/Credit Memo No.,Posting Date,Location Code,Order No.,SFA Order No.,Order Date,Cr. Memo External Document No.,Return Order No.,Return Reason,Posted Warehouse Shipment/Receipt,External Document No.
Sales Shipment,SS-NPT/2021/1003231,,BG,Beer Garden,BG-D,Beer Garden (Draught),REG-08,Central,NPT,Naypyitaw,MMR018006,Pyinmana,SE-123,SE-10376,San Lwin Oo,C000194,C000194_Union _2,BG0101,Carlsberg,PT006,10 Liter Keg,10CBG10K,Carlsberg 10 Liter KEG,KEG,BT001,Lager,2021,12,1,1,0.1,"29,619.05","1,480.95","31,100.00",0,0,0,"29,619.05","1,480.95","31,100.00",PSI-NPT/2021/1003297,01-12-21,NPT-01,NPT-01/2021/1003329,SE-10376301120211715210144,30-11-21,,,,NPT-PWR/2021/000606,SE-10376301120211715210144
Sales Shipment,SS-NPT/2021/1003233,,BG,Beer Garden,BG-D,Beer Garden (Draught),REG-08,Central,NPT,Naypyitaw,MMR018006,Pyinmana,SE-123,SE-10376,San Lwin Oo,C000194,C000194_Union _2,BG0201,Tuborg Green,PT001,30 Liter Keg,10TBG30K,Tuborg 30 Litre Keg,KEG,BT001,Lager,2021,12,1,1,0.3,"64,047.62","3,202.38","67,250.00",0,0,0,"64,047.62","3,202.38","67,250.00",PSI-NPT/2021/1003299,01-12-21,NPT-01,NPT-01/2021/1003332,SE-10376301120212053030147,30-11-21,,,,NPT-PWR/2021/000606,SE-10376301120212053030147
Sales Return Receipt,SR-NPT/2021/201639,,BG,Beer Garden,BG-D,Beer Garden (Draught),REG-08,Central,NPT,Naypyitaw,MMR018006,Pyinmana,SE-123,SE-10376,San Lwin Oo,C000194,C000194_Union _2,OT0001,"Others -Keg, Crate and CO2 Cylinder",,,4000032,Keg 30L,PCS,,,2021,12,1,-9,0,0,0,0,0,0,0,0,0,0,PSCR-NPT/2021/001646,01-12-21,NPT-01,,,,EMPTY/PSI-NPT/2021/1003274,NPT-01/2021/2001649,Empty Return,NPT-PWR/2021/000611,
Sales Return Receipt,SR-NPT/2021/201639,,BG,Beer Garden,BG-D,Beer Garden (Draught),REG-08,Central,NPT,Naypyitaw,MMR018006,Pyinmana,SE-123,SE-10376,San Lwin Oo,C000194,C000194_Union _2,OT0001,"Others -Keg, Crate and CO2 Cylinder",,,4000037,Crate,CRATE,,,2021,12,1,-17,0,0,0,0,0,0,0,0,0,0,PSCR-NPT/2021/001646,01-12-21,NPT-01,,,,EMPTY/PSI-NPT/2021/1003274,NPT-01/2021/2001649,Empty Return,NPT-PWR/2021/000611,
Sales Return Receipt,SR-NPT/2021/201639,,BG,Beer Garden,BG-D,Beer Garden (Draught),REG-08,Central,NPT,Naypyitaw,MMR018006,Pyinmana,SE-123,SE-10376,San Lwin Oo,C000194,C000194_Union _2,OT0001,"Others -Keg, Crate and CO2 Cylinder",,,4000053,Keg 10L,PCS,,,2021,12,1,-1,0,0,0,0,0,0,0,0,0,0,PSCR-NPT/2021/001646,01-12-21,NPT-01,,,,EMPTY/PSI-NPT/2021/1003274,NPT-01/2021/2001649,Empty Return,NPT-PWR/2021/000611,
Sales Return Receipt,SR-NPT/2021/201639,,BG,Beer Garden,BG-D,Beer Garden (Draught),REG-08,Central,NPT,Naypyitaw,MMR018006,Pyinmana,SE-123,SE-10376,San Lwin Oo,C000194,C000194_Union _2,BG0201,Tuborg Green,,,4000109,Tuborg 640ml Bottle Crt Return,BOTTLE,,,2021,12,1,-120,0,0,0,0,0,0,0,0,0,0,PSCR-NPT/2021/001646,01-12-21,NPT-01,,,,EMPTY/PSI-NPT/2021/1003274,NPT-01/2021/2001649,Empty Return,NPT-PWR/2021/000611,
Sales Shipment,SS-MDY/2021/1008824,,BST,Beer Station,BST-D,Beer Station (Draught),REG-09,Upper,MDY,Mandalay,MMR010001,Aungmyaythazan,SE-117,SE-10863,Pyae Phyo Aung,C000202,C000202_Man Faw Mon _ 2,BG0201,Tuborg Green,PT001,30 Liter Keg,10TBG30K,Tuborg 30 Litre Keg,KEG,BT001,Lager,2021,12,1,20,6,"1,280,952.38","64,047.62","1,345,000.00",0,0,0,"1,280,952.38","64,047.62","1,345,000.00",PSI-MDY/2021/1008724,01-12-21,MDY-01,MDY-01/2021/1009504,SE-10863301120211034350259,30-11-21,,,,MDY-PWS/2021/001370,SE-10863301120211034350259
Sales Shipment,SS-MDY/2021/1008824,Free Beer-Contract Volume Related,BST,Beer Station,BST-D,Beer Station (Draught),REG-09,Upper,MDY,Mandalay,MMR010001,Aungmyaythazan,SE-117,SE-10863,Pyae Phyo Aung,C000202,C000202_Man Faw Mon _ 2,BG0201,Tuborg Green,PT001,30 Liter Keg,10TBG30K,Tuborg 30 Litre Keg,KEG,BT001,Lager,2021,12,1,2,0.6,0,0,0,"128,095.24",0,"128,095.24","128,095.24",0,"128,095.24",PSI-MDY/2021/1008724,01-12-21,MDY-01,MDY-01/2021/1009504,SE-10863301120211034350259,30-11-21,,,,MDY-PWS/2021/001370,SE-10863301120211034350259
Sales Shipment,SS-MDY/2021/1008827,,BST,Beer Station,BST-D,Beer Station (Draught),REG-09,Upper,MDY,Mandalay,MMR010001,Aungmyaythazan,SE-117,SE-10863,Pyae Phyo Aung,C000202,C000202_Man Faw Mon _ 2,BG0201,Tuborg Green,PT001,30 Liter Keg,10TBG30K,Tuborg 30 Litre Keg,KEG,BT001,Lager,2021,12,1,10,3,"640,476.19","32,023.81","672,500.00",0,0,0,"640,476.19","32,023.81","672,500.00",PSI-MDY/2021/1008727,01-12-21,MDY-01,MDY-01/2021/1009508,SE-10863301120211051510263,30-11-21,,,,MDY-PWS/2021/001370,SE-10863301120211051510263
Sales Shipment,SS-MDY/2021/1008827,Free Beer-Contract Volume Related,BST,Beer Station,BST-D,Beer Station (Draught),REG-09,Upper,MDY,Mandalay,MMR010001,Aungmyaythazan,SE-117,SE-10863,Pyae Phyo Aung,C000202,C000202_Man Faw Mon _ 2,BG0201,Tuborg Green,PT001,30 Liter Keg,10TBG30K,Tuborg 30 Litre Keg,KEG,BT001,Lager,2021,12,1,1,0.3,0,0,0,"64,047.62",0,"64,047.62","64,047.62",0,"64,047.62",PSI-MDY/2021/1008727,01-12-21,MDY-01,MDY-01/2021/1009508,SE-10863301120211051510263,30-11-21,,,,MDY-PWS/2021/001370,SE-10863301120211051510263
Sales Shipment,SS-MDY/2021/1008827,,BST,Beer Station,BST-D,Beer Station (Draught),REG-09,Upper,MDY,Mandalay,MMR010001,Aungmyaythazan,SE-117,SE-10863,Pyae Phyo Aung,C000202,C000202_Man Faw Mon _ 2,BG0202,Tuborg Strong,PT004,330 ML Can,10TBS330C-P,Tuborg Strong 330ml Can Pack of 24 (UTC),CASE,BT002,Strong,2021,12,1,10,0.792,"232,857.14","11,642.86","244,500.00",0,0,0,"232,857.14","11,642.86","244,500.00",PSI-MDY/2021/1008727,01-12-21,MDY-01,MDY-01/2021/1009508,SE-10863301120211051510263,30-11-21,,,,MDY-PWS/2021/001370,SE-10863301120211051510263
Sales Shipment,SS-MDY/2021/1008827,,BST,Beer Station,BST-D,Beer Station (Draught),REG-09,Upper,MDY,Mandalay,MMR010001,Aungmyaythazan,SE-117,SE-10863,Pyae Phyo Aung,C000202,C000202_Man Faw Mon _ 2,BL3701,YOMA Special,PT005,500 ML Can,10YSB500C,Yoma Special 500ml Can Pack of 24,CASE,BT001,Lager,2021,12,1,3,0.36,"73,714.29","3,685.71","77,400.00",0,0,0,"73,714.29","3,685.71","77,400.00",PSI-MDY/2021/1008727,01-12-21,MDY-01,MDY-01/2021/1009508,SE-10863301120211051510263,30-11-21,,,,MDY-PWS/2021/001370,SE-10863301120211051510263
Sales Shipment,SS-YGN/2021/1013114,,BST,Beer Station,BST-D,Beer Station (Draught),REG-07,Yangon & Lower,YGN,Yangon,MMR013021,Dagon Myothit (Seikkan),SE-031,SE-10739,Htun Lin Htet,C000229,C000229_Phyar Pone Restaurant,BL3700,YOMA Classic,PT001,30 Liter Keg,10YOM30K,Yoma Classic 30 Litre Keg,KEG,BT001,Lager,2021,12,1,2,0.6,"105,333.33","5,266.67","110,600.00",0,0,0,"105,333.33","5,266.67","110,600.00",PSI-YGN/2021/1013143,01-12-21,YGN-01,YGN-01/2021/1013146,SE-10739291120212013270747,29-11-21,,,,YGN-PWS/2021/002993,SE-10739291120212013270747
Sales Return Receipt,SR-YGN/2021/206990,,BST,Beer Station,BST-D,Beer Station (Draught),REG-07,Yangon & Lower,YGN,Yangon,MMR013021,Dagon Myothit (Seikkan),SE-031,SE-10739,Htun Lin Htet,C000229,C000229_Phyar Pone Restaurant,OT0001,"Others -Keg, Crate and CO2 Cylinder",,,4000032,Keg 30L,PCS,,,2021,12,1,-1,0,0,0,0,0,0,0,0,0,0,PSCR-YGN/2021/005885,02-12-21,YGN-01,,,,EMPTY-PSI-YGN/2021/1013143,YGN-01/2021/2007506,Empty Return,YGN-PWR/2021/002058,
Sales Return Receipt,SR-YGN/2021/206990,,BST,Beer Station,BST-D,Beer Station (Draught),REG-07,Yangon & Lower,YGN,Yangon,MMR013021,Dagon Myothit (Seikkan),SE-031,SE-10739,Htun Lin Htet,C000229,C000229_Phyar Pone Restaurant,OT0001,"Others -Keg, Crate and CO2 Cylinder",,,CO2EMPTY,CO2 (Empty),PCS,,,2021,12,1,-1,0,0,0,0,0,0,0,0,0,0,PSCR-YGN/2021/005885,02-12-21,YGN-01,,,,EMPTY-PSI-YGN/2021/1013143,YGN-01/2021/2007506,Empty Return,YGN-PWR/2021/002058,
Sales Return Receipt,SR-YGN/2021/206916,,PB,Premium Bar,PB-D,Premium Bar (Draught),REG-07,Yangon & Lower,YGN,Yangon,MMR013044,Bahan,SE-016,SE-10628,Kyaw Khaing Lin,C000261,C000261_Horn,OT0001,"Others -Keg, Crate and CO2 Cylinder",,,4000053,Keg 10L,PCS,,,2021,12,1,-4,0,0,0,0,0,0,0,0,0,0,PSCR-YGN/2021/005495,02-12-21,YGN-01,,,,EMPTY-PSI-YGN/2021/1013057,YGN-01/2021/2007431,Empty Return,YGN-PWR/2021/002045,
Sales Return Receipt,SR-MDY/2021/203909,,BST,Beer Station,BST-D,Beer Station (Draught),REG-09,Upper,MDY,Mandalay,MMR010002,Chanayethazan,SE-067,SE-10336,Zaw Hein Phyo,C000276,C000276_Bo Aung Din  MDY,OT0001,"Others -Keg, Crate and CO2 Cylinder",,,4000032,Keg 30L,PCS,,,2021,12,1,-11,0,0,0,0,0,0,0,0,0,0,PSCR-MDY/2021/003909,01-12-21,MDY-01,,,,EMPTY PSI-MDY/2021/1008635,MDY-01/2021/2004027,Empty Return,MDY-PWR-2021/000747,
Sales Shipment,SS-YGN/2021/1013187,,SM,Supermarket,SM,Supermarket,REG-07,Yangon & Lower,YGN,Yangon,MMR013019,Dagon Myothit (North),SE-026,SE-10305,Aung Thu Min,C000304,C000304-City Mart North Dagon CMHL,BL3710,Black Eagle,PT004,330 ML Can,10BEG330C-P,Black Eagle 330ml Can pack of 24 (Promo),CASE,BT004,Stout,2021,12,1,1,0.0792,"25,809.52","1,290.48","27,100.00","2,580.95",129.05,"2,710.00","25,809.52","1,290.48","27,100.00",PSI-YGN/2021/1013216,01-12-21,YGN-01,YGN-01/2021/1013283,USE-1030501122021074937704,01-12-21,,,,YGN-PWS/2021/003006,'2111004261329
Sales Shipment,SS-YGN/2021/1013187,,SM,Supermarket,SM,Supermarket,REG-07,Yangon & Lower,YGN,Yangon,MMR013019,Dagon Myothit (North),SE-026,SE-10305,Aung Thu Min,C000304,C000304-City Mart North Dagon CMHL,BG0201,Tuborg Green,PT004,330 ML Can,10TBG330C-4G,Tuborg-4G 330ml Can Pack of 24,CASE,BT001,Lager,2021,12,1,1,0.0792,"23,285.71","1,164.29","24,450.00","2,328.57",116.43,"2,445.00","23,285.71","1,164.29","24,450.00",PSI-YGN/2021/1013216,01-12-21,YGN-01,YGN-01/2021/1013283,USE-1030501122021074937704,01-12-21,,,,YGN-PWS/2021/003006,'2111004261329
Sales Shipment,SS-YGN/2021/1013191,,SM,Supermarket,SM,Supermarket,REG-07,Yangon & Lower,YGN,Yangon,MMR013019,Dagon Myothit (North),SE-026,SE-10305,Aung Thu Min,C000304,C000304-City Mart North Dagon CMHL,BG0201,Tuborg Green,PT004,330 ML Can,10TBG330C-4G,Tuborg-4G 330ml Can Pack of 24,CASE,BT001,Lager,2021,12,1,2,0.1584,"46,571.43","2,328.57","48,900.00","4,657.14",232.86,"4,890.00","46,571.43","2,328.57","48,900.00",PSI-YGN/2021/1013220,01-12-21,YGN-01,YGN-01/2021/1013292,USE-1030501122021080139713,01-12-21,,,,YGN-PWS/2021/003006,'2111004273847
Sales Shipment,SS-YGN/2021/1013187,,SM,Supermarket,SM,Supermarket,REG-07,Yangon & Lower,YGN,Yangon,MMR013019,Dagon Myothit (North),SE-026,SE-10305,Aung Thu Min,C000304,C000304-City Mart North Dagon CMHL,BG0201,Tuborg Green,PT002,640 ML Bottle - Carton,10TBG640CT-4G,Tuborg-4G 640ml Bottle pack of 12 (Carton),CASE,BT001,Lager,2021,12,1,1,0.0768,"21,047.62","1,052.38","22,100.00","2,104.76",105.23,"2,209.99","21,047.62","1,052.38","22,100.00",PSI-YGN/2021/1013216,01-12-21,YGN-01,YGN-01/2021/1013283,,01-12-21,,,,YGN-PWS/2021/003006,'2111004261329
Sales Shipment,SS-YGN/2021/1013191,,SM,Supermarket,SM,Supermarket,REG-07,Yangon & Lower,YGN,Yangon,MMR013019,Dagon Myothit (North),SE-026,SE-10305,Aung Thu Min,C000304,C000304-City Mart North Dagon CMHL,BG0201,Tuborg Green,PT002,640 ML Bottle - Carton,10TBG640CT-4G,Tuborg-4G 640ml Bottle pack of 12 (Carton),CASE,BT001,Lager,2021,12,1,4,0.3072,"84,190.48","4,209.52","88,400.00","8,419.05",420.95,"8,840.00","84,190.48","4,209.52","88,400.00",PSI-YGN/2021/1013220,01-12-21,YGN-01,YGN-01/2021/1013292,USE-1030501122021080139713,01-12-21,,,,YGN-PWS/2021/003006,'2111004273847
Sales Shipment,SS-YGN/2021/1013187,,SM,Supermarket,SM,Supermarket,REG-07,Yangon & Lower,YGN,Yangon,MMR013019,Dagon Myothit (North),SE-026,SE-10305,Aung Thu Min,C000304,C000304-City Mart North Dagon CMHL,BG0202,Tuborg Strong,PT004,330 ML Can,10TBS330C,Tuborg Strong 330ml Can Pack of 24,CASE,BT002,Strong,2021,12,1,3,0.2376,"69,857.14","3,492.86","73,350.00","6,985.71",349.29,"7,335.00","69,857.14","3,492.86","73,350.00",PSI-YGN/2021/1013216,01-12-21,YGN-01,YGN-01/2021/1013283,,01-12-21,,,,YGN-PWS/2021/003006,'2111004261329
Sales Shipment,SS-YGN/2021/1013187,,SM,Supermarket,SM,Supermarket,REG-07,Yangon & Lower,YGN,Yangon,MMR013019,Dagon Myothit (North),SE-026,SE-10305,Aung Thu Min,C000304,C000304-City Mart North Dagon CMHL,BL3702,YOMA Strong,PT005,500 ML Can,10YEX500C,Yoma Strong Can 500 ml,CASE,BT002,Strong,2021,12,1,1,0.12,"28,285.71","1,414.29","29,700.00","2,828.57",141.43,"2,970.00","28,285.71","1,414.29","29,700.00",PSI-YGN/2021/1013216,01-12-21,YGN-01,YGN-01/2021/1013283,,01-12-21,,,,YGN-PWS/2021/003006,'2111004261329
Sales Shipment,SS-YGN/2021/1013187,,SM,Supermarket,SM,Supermarket,REG-07,Yangon & Lower,YGN,Yangon,MMR013019,Dagon Myothit (North),SE-026,SE-10305,Aung Thu Min,C000304,C000304-City Mart North Dagon CMHL,BL3702,YOMA Strong,PT002,640 ML Bottle - Carton,10YEX640B,Yoma Strong 640ml Bottle pack of 12 (Carton),CASE,BT002,Strong,2021,12,1,1,0.0768,"16,095.24",804.76,"16,900.00","1,609.52",80.48,"1,690.00","16,095.24",804.76,"16,900.00",PSI-YGN/2021/1013216,01-12-21,YGN-01,YGN-01/2021/1013283,,01-12-21,,,,YGN-PWS/2021/003006,'2111004261329
Sales Shipment,SS-YGN/2021/1013187,,SM,Supermarket,SM,Supermarket,REG-07,Yangon & Lower,YGN,Yangon,MMR013019,Dagon Myothit (North),SE-026,SE-10305,Aung Thu Min,C000304,C000304-City Mart North Dagon CMHL,BL3700,YOMA Classic,PT005,500 ML Can,10YOM500C,Yoma Classic 500ml Can Pack of 24,CASE,BT001,Lager,2021,12,1,1,0.12,"23,000.00","1,150.00","24,150.00","2,300.00",115,"2,415.00","23,000.00","1,150.00","24,150.00",PSI-YGN/2021/1013216,01-12-21,YGN-01,YGN-01/2021/1013283,,01-12-21,,,,YGN-PWS/2021/003006,'2111004261329
Sales Shipment,SS-YGN/2021/1013191,,SM,Supermarket,SM,Supermarket,REG-07,Yangon & Lower,YGN,Yangon,MMR013019,Dagon Myothit (North),SE-026,SE-10305,Aung Thu Min,C000304,C000304-City Mart North Dagon CMHL,BL3700,YOMA Classic,PT005,500 ML Can,10YOM500C,Yoma Classic 500ml Can Pack of 24,CASE,BT001,Lager,2021,12,1,2,0.24,"46,000.00","2,300.00","48,300.00","4,600.00",230,"4,830.00","46,000.00","2,300.00","48,300.00",PSI-YGN/2021/1013220,01-12-21,YGN-01,YGN-01/2021/1013292,USE-1030501122021080139713,01-12-21,,,,YGN-PWS/2021/003006,'2111004273847
Sales Shipment,SS-YGN/2021/1013187,,SM,Supermarket,SM,Supermarket,REG-07,Yangon & Lower,YGN,Yangon,MMR013019,Dagon Myothit (North),SE-026,SE-10305,Aung Thu Min,C000304,C000304-City Mart North Dagon CMHL,BL3700,YOMA Classic,PT002,640 ML Bottle - Carton,10YOM640B,Yoma Classic 640ml Bottle pack of 12 (Carton),CASE,BT001,Lager,2021,12,1,1,0.0768,"13,714.29",685.71,"14,400.00","1,371.43",68.57,"1,440.00","13,714.29",685.71,"14,400.00",PSI-YGN/2021/1013216,01-12-21,YGN-01,YGN-01/2021/1013283,,01-12-21,,,,YGN-PWS/2021/003006,'2111004261329
Sales Shipment,SS-YGN/2021/1013187,,SM,Supermarket,SM,Supermarket,REG-07,Yangon & Lower,YGN,Yangon,MMR013019,Dagon Myothit (North),SE-026,SE-10305,Aung Thu Min,C000304,C000304-City Mart North Dagon CMHL,BL3701,YOMA Special,PT005,500 ML Can,10YSB500C,Yoma Special 500ml Can Pack of 24,CASE,BT001,Lager,2021,12,1,3,0.36,"73,714.29","3,685.71","77,400.00","7,371.43",368.57,"7,740.00","73,714.29","3,685.71","77,400.00",PSI-YGN/2021/1013216,01-12-21,YGN-01,YGN-01/2021/1013283,,01-12-21,,,,YGN-PWS/2021/003006,'2111004261329
Sales Shipment,SS-YGN/2021/1013191,,SM,Supermarket,SM,Supermarket,REG-07,Yangon & Lower,YGN,Yangon,MMR013019,Dagon Myothit (North),SE-026,SE-10305,Aung Thu Min,C000304,C000304-City Mart North Dagon CMHL,BL3701,YOMA Special,PT005,500 ML Can,10YSB500C,Yoma Special 500ml Can Pack of 24,CASE,BT001,Lager,2021,12,1,3,0.36,"73,714.29","3,685.71","77,400.00","7,371.43",368.57,"7,740.00","73,714.29","3,685.71","77,400.00",PSI-YGN/2021/1013220,01-12-21,YGN-01,YGN-01/2021/1013292,USE-1030501122021080139713,01-12-21,,,,YGN-PWS/2021/003006,'2111004273847
Sales Shipment,SS-YGN/2021/1013188,,SM,Supermarket,SM,Supermarket,REG-07,Yangon & Lower,YGN,Yangon,MMR013018,Dagon Myothit (South),SE-026,SE-10305,Aung Thu Min,C000305,C000305-City Mart South Dagon CMHL,BG0101,Carlsberg,PT002,640 ML Bottle - Carton,10CBG640B,Carlsberg 640ml Bottle pack of 12,CASE,BT001,Lager,2021,12,1,1,0.0768,"24,095.24","1,204.76","25,300.00","2,409.52",120.47,"2,529.99","24,095.24","1,204.76","25,300.00",PSI-YGN/2021/1013217,01-12-21,YGN-01,YGN-01/2021/1013284,USE-1030501122021074937705,01-12-21,,,,YGN-PWS/2021/003006,'2111004257016
Sales Shipment,SS-YGN/2021/1013188,,SM,Supermarket,SM,Supermarket,REG-07,Yangon & Lower,YGN,Yangon,MMR013018,Dagon Myothit (South),SE-026,SE-10305,Aung Thu Min,C000305,C000305-City Mart South Dagon CMHL,BL3702,YOMA Strong,PT005,500 ML Can,10YEX500C,Yoma Strong Can 500 ml,CASE,BT002,Strong,2021,12,1,1,0.12,"28,285.71","1,414.29","29,700.00","2,828.57",141.43,"2,970.00","28,285.71","1,414.29","29,700.00",PSI-YGN/2021/1013217,01-12-21,YGN-01,YGN-01/2021/1013284,USE-1030501122021074937705,01-12-21,,,,YGN-PWS/2021/003006,'2111004257016
